,Number of Beds,FTE - Employees on Payroll,Inpatient Revenue,Outpatient Revenue
1740,25.0,113.89,11595524.0,11378212.0
1743,25.0,181.2,10731425.0,37519543.0
1744,206.0,421.14,310514652.0,28835377.0
1745,33.0,447.0,55514977.0,4332144.0
1746,24.0,52.67,3080682.0,29001095.0
1747,23.0,252.44,8295734.0,46085540.0
1748,22.0,51.55,4719736.0,7477431.0
1749,25.0,45.84,2050875.0,2536281.0
1750,25.0,73.53,5457783.0,27905495.0
1751,80.0,130.42,41902897.0,2446666.0
1752,25.0,263.15,17822261.0,99100656.0
1753,120.0,225.4,52189442.0,4488623.0
1754,58.0,127.88,29287500.0,3123020.0
1755,28.0,284.62,87611385.0,2858908.0
1756,15.0,75.69,4072258.0,14144315.0
1757,118.0,169.29,53787820.0,4552915.0
1758,25.0,114.65,11811473.0,22553338.0
1759,298.0,490.98,172289866.0,10725056.0
1760,66.0,372.99,55575364.0,38860845.0
1762,178.0,820.72,235958498.0,119004650.0
1763,35.0,1.6,150845332.0,2000000.0
1764,30.0,14.2,61965009.0,1500000.0
1765,24.0,139.81,15032964.0,37312766.0
1766,19.0,55.78,1521894.0,8037480.0
1767,39.0,148.47,69705243.0,2585868.0
1769,25.0,122.51,8708414.0,44745874.0
1770,47.0,300.84,47159222.0,78101924.0
1772,38.0,234.5,21539903.0,120478805.0
1773,61.0,423.05,27430904.0,145553256.0
1774,265.0,813.97,468600362.0,630954228.0
1775,73.0,175.6,28863810.0,2730262.0
1776,134.0,261.62,79550819.0,25352250.0
1777,23.0,227.63,18732569.0,67781147.0
1778,23.0,112.11,8222077.0,24897455.0
1779,23.0,80.83,3107530.0,13176381.0
1780,18.0,238.11,23779903.0,65255491.0
1781,25.0,90.66,8771230.0,23415870.0
1782,477.0,2042.0,266339653.0,156317204.0
1783,40.0,113.23,38175886.0,21300.0
1784,54.0,102.76,28506000.0,1844248.0
1785,25.0,215.58,28001950.0,88569103.0
1786,182.0,1672.26,530646951.0,909107451.0
1787,87.0,669.21,70227634.0,192612097.0
