code,count,mean,std,min,25%,50%,75%,max
26478-8,512.0,21.48203125,18.180853495661967,0.0,7.0,17.0,31.0,97.0
26484-6,497.0,1.9292957746478874,22.449275387648623,0.0,0.23,0.44,0.89,500.0
26485-3,500.0,7.4942,6.866040444300159,0.0,3.0,6.0,9.6,53.0
26490-3,10.0,125182.4,118730.11288745019,4656.0,17299.25,91680.0,217428.0,325733.0
26493-7,56.0,90.46428571428571,21.091975454457284,7.0,92.0,100.0,100.0,100.0
26498-6,71.0,1.7028169014084509,1.0213397127562986,0.9,1.0,1.0,2.0,5.0
26499-4,249.0,4.495100401606426,2.554035407914086,0.0,2.9,3.7,5.2,19.2
26505-8,448.0,61.57767857142857,24.902891343847546,1.0,44.0,68.0,81.1,99.0
26507-4,271.0,0.7922878228782289,1.6801013875378843,0.0,0.0,0.15,0.785,16.13
26508-2,368.0,5.077717391304348,7.375997098367045,0.0,1.0,2.0,6.075,63.0
26513-2,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
26515-7,104.0,256.125,64.52570609898675,114.0,223.5,248.0,289.0,468.0
26524-9,3.0,1.6666666666666667,1.1547005383792517,1.0,1.0,1.0,2.0,3.0
26561-1,1.0,124.0,,124.0,124.0,124.0,124.0,124.0
26600-7,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
26604-9,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
26608-0,1.0,8.0,,8.0,8.0,8.0,8.0,8.0
26613-0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
26746-8,2.0,5.0,0.4242640687119283,4.7,4.85,5.0,5.15,5.3
2692-2,59.0,304.79661016949154,26.356821835654742,259.0,284.5,304.0,323.5,377.0
2695-5,66.0,378.4848484848485,198.65263400637053,96.0,233.5,354.0,504.25,980.0
26971-2,0.0,,,,,,,
2703-7,143.0,123.1951048951049,91.37103458856474,11.0,66.5,89.0,156.0,483.0
2705-2,51.0,40.699999999999996,16.06878962461081,16.0,35.0,40.0,44.5,115.0
27071-0,1.0,1.7,,1.7,1.7,1.7,1.7,1.7
27118-9,1.0,1.92,,1.92,1.92,1.92,1.92,1.92
2714-4,121.0,93.71900826446281,5.448582599318633,61.0,92.0,95.0,97.0,99.0
2716-9,36.0,71.61111111111111,8.929174582802082,46.0,68.0,73.0,76.25,87.0
